# Solver information
# Time        	p_rgh_solver  	p_rgh_initial 	p_rgh_final   	p_rgh_iters   	p_rgh_converged
441           	GAMG	7.631120e-02	1.582480e-04	2	true
442           	GAMG	7.453500e-02	1.522860e-04	2	true
443           	GAMG	7.307620e-02	1.527790e-04	2	true
444           	GAMG	7.203390e-02	1.510610e-04	2	true
445           	GAMG	7.155860e-02	1.484750e-04	2	true
446           	GAMG	7.085350e-02	1.506950e-04	2	true
447           	GAMG	7.023690e-02	1.449610e-04	2	true
448           	GAMG	6.989800e-02	1.442830e-04	2	true
449           	GAMG	6.887880e-02	1.436390e-04	2	true
450           	GAMG	6.873300e-02	1.379770e-04	2	true
451           	GAMG	6.819600e-02	1.344930e-04	2	true
452           	GAMG	6.705520e-02	1.352410e-04	2	true
453           	GAMG	6.640800e-02	1.375260e-04	2	true
454           	GAMG	6.596780e-02	1.408400e-04	2	true
455           	GAMG	6.571030e-02	1.419880e-04	2	true
456           	GAMG	6.551780e-02	1.426270e-04	2	true
457           	GAMG	6.581850e-02	1.515770e-04	2	true
458           	GAMG	6.627850e-02	1.554530e-04	2	true
459           	GAMG	6.663570e-02	1.527430e-04	2	true
460           	GAMG	6.757880e-02	1.614340e-04	2	true
461           	GAMG	6.892150e-02	1.645280e-04	2	true
462           	GAMG	6.941040e-02	1.654750e-04	2	true
463           	GAMG	7.035060e-02	1.610650e-04	2	true
464           	GAMG	7.139320e-02	1.582890e-04	2	true
465           	GAMG	7.146740e-02	1.632080e-04	2	true
466           	GAMG	7.239430e-02	1.672100e-04	2	true
467           	GAMG	7.392710e-02	1.644430e-04	2	true
468           	GAMG	7.457190e-02	1.687350e-04	2	true
469           	GAMG	7.412510e-02	1.658900e-04	2	true
470           	GAMG	7.427790e-02	1.640080e-04	2	true
471           	GAMG	7.438010e-02	1.578930e-04	2	true
472           	GAMG	7.526200e-02	1.583560e-04	2	true
473           	GAMG	7.575220e-02	1.686560e-04	2	true
474           	GAMG	7.597700e-02	1.751100e-04	2	true
475           	GAMG	7.626330e-02	1.822770e-04	2	true
476           	GAMG	7.652470e-02	1.779740e-04	2	true
477           	GAMG	7.737300e-02	1.797470e-04	2	true
478           	GAMG	7.744820e-02	1.788960e-04	2	true
479           	GAMG	7.740060e-02	1.766270e-04	2	true
480           	GAMG	7.778210e-02	1.818610e-04	2	true
481           	GAMG	7.676820e-02	1.754840e-04	2	true
482           	GAMG	7.710800e-02	1.790750e-04	2	true
483           	GAMG	7.863930e-02	1.772070e-04	2	true
484           	GAMG	7.887940e-02	1.683980e-04	2	true
485           	GAMG	7.876250e-02	1.759990e-04	2	true
